gene_id,s_mtsc_complete_wt_rep3,s_mtsc_ezr_d1_td_single_tdbl_rep3,s_mtsc_klf5_a3_tdbl_first_half_rep3,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf_rep2,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep3,s_mtsc_rin3_h2_tftd_dis_insertion_td_rep2
ENSMUSG00000001507,6738,16743,14532,10231,19384,4649
ENSMUSG00000001508,1,0,0,0,1,0
ENSMUSG00000001510,144,337,276,199,389,104
ENSMUSG00000001517,5040,12162,10482,7408,11233,4228
ENSMUSG00000001518,718,2185,1571,1085,1866,629
ENSMUSG00000001520,1,0,0,0,0,0
ENSMUSG00000001521,1402,3930,2987,1917,3175,1329
ENSMUSG00000001524,1165,2867,2386,1731,2888,934
ENSMUSG00000001525,54413,152750,118478,79960,150020,47285
ENSMUSG00000001542,501,1609,1060,809,1167,349
ENSMUSG00000001552,11662,27561,23388,19035,29068,8660
ENSMUSG00000001555,1570,1365,1769,1311,1261,804
ENSMUSG00000001558,17,63,77,43,95,14
ENSMUSG00000001566,11,42,30,20,41,34
ENSMUSG00000001569,2911,8796,6500,4221,7702,2305
ENSMUSG00000001576,3897,8500,7195,6525,8842,2976
ENSMUSG00000001583,194,530,416,255,680,161
ENSMUSG00000001588,6254,11925,13321,10989,14265,5536
ENSMUSG00000001604,434,868,929,820,962,492
ENSMUSG00000001622,0,0,0,0,0,0
ENSMUSG00000001627,3899,10608,7792,5930,8751,2844
ENSMUSG00000001630,953,2850,2110,1466,2425,776
ENSMUSG00000001632,4172,12151,9257,5728,10970,3366
ENSMUSG00000001642,2047,5029,3558,2463,4444,1876
ENSMUSG00000001655,487,1180,1015,1068,974,421
ENSMUSG00000001656,67,154,120,104,124,49
ENSMUSG00000001657,70,185,84,76,128,56
ENSMUSG00000001661,79,312,149,60,235,135
ENSMUSG00000001663,10,10,3,2,8,3
ENSMUSG00000001665,131,197,163,226,52,120
ENSMUSG00000001666,404,1034,684,643,858,295
ENSMUSG00000001670,1,2,1,1,1,0
ENSMUSG00000001672,100,313,226,118,312,94
ENSMUSG00000001674,4418,11816,8648,6380,10974,3971
ENSMUSG00000001687,1566,3699,3471,2656,3907,1147
ENSMUSG00000001700,900,2706,2190,1735,2800,805
ENSMUSG00000001707,3426,8298,6763,5629,8314,2608
ENSMUSG00000001729,9257,22325,18446,12306,25167,6958
ENSMUSG00000001739,23,58,55,37,53,25
ENSMUSG00000001741,0,0,2,0,2,1
ENSMUSG00000001750,3162,10313,5837,4067,8913,2400
ENSMUSG00000001751,228,423,366,265,422,174
ENSMUSG00000001755,1940,4970,3869,3181,5644,1731
ENSMUSG00000001761,1355,3359,2805,1547,2806,1195
ENSMUSG00000001763,381,1084,860,546,893,337
ENSMUSG00000001767,2132,6330,4773,3472,5730,1958
ENSMUSG00000001768,2940,7324,6749,5716,6975,3168
ENSMUSG00000001773,0,1,0,0,0,0
ENSMUSG00000001774,3544,9925,7286,5333,8908,2893
ENSMUSG00000001783,6814,16936,13506,10013,16716,5363
ENSMUSG00000001785,3864,10229,8443,6711,10427,3320
ENSMUSG00000001786,699,1934,1457,1210,2032,699
ENSMUSG00000001794,7526,18747,12670,12228,18622,5394
ENSMUSG00000001802,304,833,475,364,720,213
ENSMUSG00000001804,0,5,2,0,2,3
ENSMUSG00000001815,0,1,3,1,4,4
ENSMUSG00000001819,213,527,379,359,452,195
ENSMUSG00000001823,2,9,0,3,2,2
ENSMUSG00000001827,1610,5414,2949,2633,3890,1515
ENSMUSG00000001829,2475,6404,5131,4217,6586,2005
ENSMUSG00000001833,8334,21623,18785,14079,19837,7200
ENSMUSG00000001844,863,2606,1745,1585,2376,770
ENSMUSG00000001847,13390,30462,25990,18958,30905,10384
ENSMUSG00000001855,4083,13316,9551,6660,11604,3684
ENSMUSG00000001864,712,2963,1350,781,2363,667
ENSMUSG00000001865,0,0,0,0,2,0
ENSMUSG00000001870,228,545,353,222,419,159
ENSMUSG00000001891,1650,4226,3734,2729,4235,1375
ENSMUSG00000001901,0,8,11,3,8,0
ENSMUSG00000001909,4517,11209,8711,6450,11088,3485
ENSMUSG00000001910,3386,8371,6876,4939,7757,2834
ENSMUSG00000001911,305,907,598,647,793,303
ENSMUSG00000001918,1700,4034,3593,2323,4905,1638
ENSMUSG00000001924,14133,38908,29495,21409,37839,11854
ENSMUSG00000001930,18,38,28,21,39,6
ENSMUSG00000001942,745,1787,1454,1047,1979,559
ENSMUSG00000001943,2,4,0,0,9,0
ENSMUSG00000001946,97,234,149,166,315,67
ENSMUSG00000001948,63,133,121,128,128,36
ENSMUSG00000001962,2793,6534,6023,4322,7405,2300
ENSMUSG00000001964,2679,6997,5478,4525,6846,2015
ENSMUSG00000001983,528,1573,1126,729,1451,388
ENSMUSG00000001985,482,1698,1228,1495,1468,359
ENSMUSG00000001986,0,0,0,0,0,0
ENSMUSG00000001988,20,24,30,40,32,23
ENSMUSG00000001995,7130,19224,15315,10660,19314,5612
ENSMUSG00000001998,665,1854,1467,1121,1641,479
ENSMUSG00000001999,1300,3186,2687,2119,3628,1144
ENSMUSG00000002006,78,232,183,127,180,77
ENSMUSG00000002007,0,0,1,0,3,0
ENSMUSG00000002010,4903,12443,9422,7554,12373,3697
ENSMUSG00000002012,191,338,401,290,465,222
ENSMUSG00000002014,2744,6179,5011,4545,6874,2178
ENSMUSG00000002015,5167,13128,9767,8380,13866,4200
ENSMUSG00000002017,1639,5277,3132,2545,4184,1488
ENSMUSG00000002020,52,212,176,174,152,68
ENSMUSG00000002028,14367,41847,35736,22858,31062,10331
ENSMUSG00000002031,4594,9535,9959,7969,10979,3883
ENSMUSG00000002032,186,390,259,244,476,133
ENSMUSG00000002033,0,0,0,1,0,0
ENSMUSG00000002043,775,1803,1541,1211,1913,748
ENSMUSG00000002052,9976,31432,23113,14826,27478,8360
ENSMUSG00000002055,4456,13164,10024,7220,12226,4056
ENSMUSG00000002057,3,21,9,5,13,8
ENSMUSG00000002058,459,1187,974,741,1278,416
ENSMUSG00000002059,862,1860,1762,1351,2192,756
ENSMUSG00000002064,1606,4050,3128,2491,4280,1235
ENSMUSG00000002068,2589,6098,4677,3666,6186,2093
ENSMUSG00000002076,94,204,179,130,245,90
ENSMUSG00000002083,731,1710,1695,1373,1977,549
ENSMUSG00000002100,91,163,160,204,273,101
ENSMUSG00000002102,11025,32455,21476,15602,30128,8937
ENSMUSG00000002103,1416,3821,2587,2081,3868,945
ENSMUSG00000002104,3,20,3,1,4,2
ENSMUSG00000002105,1025,2274,1850,1889,2357,722
ENSMUSG00000002107,324,716,616,325,627,217
ENSMUSG00000002108,284,613,450,319,726,181
ENSMUSG00000002109,1003,2364,1767,1445,2557,794
ENSMUSG00000002111,4,21,8,15,20,6
ENSMUSG00000002129,5348,15910,11869,7285,13830,4351
ENSMUSG00000002147,113,446,215,155,394,126
ENSMUSG00000002190,31,122,28,36,81,21
ENSMUSG00000002204,0,0,0,0,0,0
ENSMUSG00000002205,664,1660,1393,1012,1792,571
ENSMUSG00000002210,625,1442,1103,951,1510,494
ENSMUSG00000002221,3089,8141,5608,4021,7224,2307
ENSMUSG00000002222,4516,12435,10000,6356,11899,3755
ENSMUSG00000002227,2665,7419,5512,3534,7043,2134
ENSMUSG00000002228,1885,3272,3562,2947,4497,1575
ENSMUSG00000002233,4164,11752,7724,6165,11006,2952
ENSMUSG00000002240,0,0,0,0,0,0
ENSMUSG00000002249,4308,10860,7454,5869,10872,3269
ENSMUSG00000002250,1687,4532,3007,2427,4374,1261
ENSMUSG00000002257,303,726,590,687,1020,258
ENSMUSG00000002265,15352,47622,34343,18705,35656,12479
ENSMUSG00000002266,36,60,38,27,58,25
ENSMUSG00000002274,525,1201,850,801,1367,465
ENSMUSG00000002279,762,2221,1654,1054,2102,724
ENSMUSG00000002280,795,2058,1546,1114,2149,659
ENSMUSG00000002289,7,30,13,19,27,3
ENSMUSG00000002297,7039,17909,15272,11209,18633,6125
ENSMUSG00000002307,2707,7671,5992,4027,7409,2529
ENSMUSG00000002308,1218,3102,2214,1768,3199,948
ENSMUSG00000002319,1895,5408,3800,2550,5009,1684
ENSMUSG00000002320,1795,4749,3542,2411,4705,1253
ENSMUSG00000002324,323,825,598,514,1086,247
ENSMUSG00000002325,383,1005,729,489,981,244
ENSMUSG00000002326,749,1890,1668,1226,1776,690
ENSMUSG00000002329,709,1831,1640,1311,2189,667
ENSMUSG00000002332,1071,2313,1946,1695,2785,891
ENSMUSG00000002341,0,4,1,1,9,1
ENSMUSG00000002342,2346,5823,4541,3917,6049,1915
ENSMUSG00000002343,291,821,637,491,886,252
ENSMUSG00000002345,587,1518,1126,852,1426,462
ENSMUSG00000002346,323,909,664,753,842,286
ENSMUSG00000002365,6110,15323,12904,10412,15392,4593
ENSMUSG00000002372,5461,14308,11253,7737,14235,4605
ENSMUSG00000002379,2415,5549,4333,3990,6184,1992
ENSMUSG00000002384,7531,25674,15678,12489,17448,5772
ENSMUSG00000002393,1038,2299,1940,1478,2620,784
ENSMUSG00000002395,1455,3613,2751,2179,3504,1111
ENSMUSG00000002396,106,243,148,160,263,85
ENSMUSG00000002409,170,498,355,256,497,104
ENSMUSG00000002413,2187,6499,4782,3611,5488,1914
ENSMUSG00000002416,682,1522,1222,1125,1763,488
ENSMUSG00000002428,3113,10368,6637,4878,7507,2910
ENSMUSG00000002455,5643,16329,12555,8372,15163,4836
ENSMUSG00000002458,971,2632,2098,1439,2320,857
ENSMUSG00000002459,50,123,67,178,146,30
ENSMUSG00000002475,83,260,129,86,221,37
