gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000001768,5024,6141,5553,6406,8773,6175
ENSMUSG00000001773,0,0,0,0,2,0
ENSMUSG00000001774,7386,8661,6411,9491,7975,8315
ENSMUSG00000001783,10149,12289,12645,13033,13516,12288
ENSMUSG00000001785,7283,7969,7673,8323,9713,8638
ENSMUSG00000001786,1183,1428,1292,1441,1569,1567
ENSMUSG00000001794,12656,14053,14172,13905,15250,13231
ENSMUSG00000001802,596,588,528,666,486,539
ENSMUSG00000001804,1,0,0,1,0,4
ENSMUSG00000001815,1,5,0,3,2,4
ENSMUSG00000001819,497,575,552,637,734,463
ENSMUSG00000001823,2,0,2,3,2,0
ENSMUSG00000001827,2099,2821,2103,2593,2402,2208
ENSMUSG00000001829,3420,4289,4229,4378,5057,4475
ENSMUSG00000001833,16321,19577,14567,20865,20116,16519
ENSMUSG00000001844,1461,1794,1627,1508,1800,1769
ENSMUSG00000001847,22015,26093,25546,26194,25876,24062
ENSMUSG00000001855,8143,8521,8365,8788,9571,9995
ENSMUSG00000001864,1294,2051,1490,1915,1168,2506
ENSMUSG00000001865,0,0,0,0,0,0
ENSMUSG00000001870,324,396,302,503,409,349
ENSMUSG00000001891,2633,3041,2589,3124,2885,2494
ENSMUSG00000001901,1,6,2,2,3,8
ENSMUSG00000001909,7276,8662,9079,8606,8534,9105
ENSMUSG00000001910,5358,4817,5260,6266,5460,4414
ENSMUSG00000001911,510,563,573,722,972,545
ENSMUSG00000001918,3244,3773,3990,3928,3679,4642
ENSMUSG00000001924,26429,30577,30450,28280,30805,30030
ENSMUSG00000001930,24,32,18,35,26,25
ENSMUSG00000001942,1106,1223,1010,1322,1203,1536
ENSMUSG00000001943,2,8,2,5,2,11
ENSMUSG00000001946,106,167,116,155,128,299
ENSMUSG00000001948,110,102,123,111,115,109
ENSMUSG00000001962,4251,5415,5836,5449,5820,5654
ENSMUSG00000001964,4160,4859,4896,4690,5612,5181
ENSMUSG00000001983,1106,1211,1144,1079,1320,1358
ENSMUSG00000001985,1107,1288,997,1137,2278,1419
ENSMUSG00000001986,0,0,0,0,0,0
ENSMUSG00000001988,24,21,13,50,49,10
ENSMUSG00000001995,12333,13712,11208,15668,15217,16635
ENSMUSG00000001998,1298,1505,961,1375,1412,1526
ENSMUSG00000001999,2331,2547,2588,2486,2540,2804
ENSMUSG00000002006,132,144,184,229,207,127
ENSMUSG00000002007,1,1,0,1,0,0
ENSMUSG00000002010,7363,8350,8676,8291,8559,9300
ENSMUSG00000002012,269,223,391,370,482,360
ENSMUSG00000002014,4345,5074,5317,4667,5162,5691
ENSMUSG00000002015,7738,9359,8368,9344,9012,9956
