gene_id,s_mtsc_complete_wt,s_mtsc_ezr_a1_td_single_tdbl,s_mtsc_ezr_d1_td_single_tdbl,s_mtsc_klf5_a3_tdbl_first_half,s_mtsc_klf5_d3_tdbl_first_half,s_mtsc_rin3_g2_tftd_dis_homozy_del,s_mtsc_rin3_h2_tftd_dis_insertion_td
ENSMUSG00000002028,38708,32378,26890,28790,24201,21789,31149
ENSMUSG00000002031,6083,5232,4008,4659,5309,5728,6145
ENSMUSG00000002032,235,197,189,153,273,281,248
ENSMUSG00000002033,0,0,0,0,0,8,0
ENSMUSG00000002043,1067,698,758,614,1331,856,998
ENSMUSG00000002052,18144,18227,18529,16346,17240,17018,16459
ENSMUSG00000002055,7554,6101,6370,5979,6850,6590,6507
ENSMUSG00000002057,0,1,7,0,3,7,1
ENSMUSG00000002058,701,528,742,559,677,961,751
ENSMUSG00000002059,1358,1189,1002,1014,1417,1196,1195
ENSMUSG00000002064,1886,2156,2168,1832,2106,2534,1749
ENSMUSG00000002068,3393,5260,4406,4413,4133,3511,2782
ENSMUSG00000002076,147,46,56,55,86,125,137
ENSMUSG00000002083,1187,1115,1103,1070,1086,1031,931
ENSMUSG00000002100,158,28,132,96,82,143,193
ENSMUSG00000002102,13864,14377,16830,14947,16093,17495,11994
ENSMUSG00000002103,2529,1827,2407,2116,1975,2509,2103
ENSMUSG00000002104,1,0,0,3,3,6,4
ENSMUSG00000002105,1279,1700,1358,1044,1296,1376,1389
ENSMUSG00000002107,497,528,502,500,393,259,330
ENSMUSG00000002108,272,121,317,214,300,328,252
ENSMUSG00000002109,1419,902,1130,1037,1342,1611,1715
ENSMUSG00000002111,2,7,7,4,4,10,20
ENSMUSG00000002129,11325,8958,10618,9556,10603,10307,9390
ENSMUSG00000002147,232,99,191,104,757,482,234
ENSMUSG00000002190,61,7,119,53,116,36,39
ENSMUSG00000002204,0,0,0,0,0,0,0
ENSMUSG00000002205,826,916,893,831,961,1032,898
ENSMUSG00000002210,832,774,810,646,795,774,761
ENSMUSG00000002221,4619,3385,4717,4584,4135,4645,4164
ENSMUSG00000002222,7901,4822,6955,7075,7684,8291,7438
ENSMUSG00000002227,3870,2525,3780,3100,4528,4922,4071
ENSMUSG00000002228,2862,1954,1832,2178,3063,2713,2547
ENSMUSG00000002233,4826,5830,6184,4385,5274,6652,4122
ENSMUSG00000002240,0,0,0,0,0,0,0
ENSMUSG00000002249,6387,6560,7304,6045,6824,6681,5511
ENSMUSG00000002250,3146,4080,2840,2193,2950,3481,2689
ENSMUSG00000002257,496,397,371,299,181,673,510
ENSMUSG00000002265,32619,9627,25715,23329,19749,24760,25402
ENSMUSG00000002266,35,4,22,9,10,59,63
ENSMUSG00000002274,696,478,599,542,822,816,660
ENSMUSG00000002279,1272,827,1340,1022,1418,1401,1110
ENSMUSG00000002280,1069,1050,1188,982,1165,1117,1032
ENSMUSG00000002289,24,6,14,10,4,14,5
ENSMUSG00000002297,11683,9067,9231,9253,10399,10858,10721
ENSMUSG00000002307,3583,2768,4760,4478,3883,4748,4037
ENSMUSG00000002308,1319,1396,1686,1256,1468,1799,1288
ENSMUSG00000002319,3410,2108,3991,3328,3699,3257,2827
ENSMUSG00000002320,2751,2158,2994,2496,2647,3045,2705
ENSMUSG00000002324,714,153,325,248,341,788,543
ENSMUSG00000002325,462,340,600,488,434,612,525
ENSMUSG00000002326,999,636,963,1038,973,1150,1079
ENSMUSG00000002329,1231,728,1115,980,1025,1477,1310
ENSMUSG00000002332,1433,1054,1333,1063,1166,1779,1543
ENSMUSG00000002341,7,2,0,0,0,4,6
ENSMUSG00000002342,3417,2624,3021,2864,3113,3665,3168
ENSMUSG00000002343,414,576,576,503,359,518,444
ENSMUSG00000002345,824,720,893,909,849,792,700
ENSMUSG00000002346,680,735,525,552,638,500,622
ENSMUSG00000002365,11145,7404,8742,7187,7432,9891,10798
ENSMUSG00000002372,7618,6079,7685,7077,7506,8353,6510
ENSMUSG00000002379,2524,2340,2775,2402,2797,3380,2458
ENSMUSG00000002384,10241,16987,12892,10626,13166,9783,9592
ENSMUSG00000002393,1230,904,1408,1164,1174,1511,1411
ENSMUSG00000002395,1749,1591,1800,1506,2121,2019,1616
ENSMUSG00000002396,122,163,115,125,143,165,172
ENSMUSG00000002409,243,154,198,140,201,249,204
ENSMUSG00000002413,4804,3872,4744,4160,5801,4221,4497
ENSMUSG00000002416,711,612,809,708,998,1053,717
ENSMUSG00000002428,6122,2104,5483,5164,4435,5582,4726
ENSMUSG00000002455,9151,7933,9060,8281,8801,9437,8127
ENSMUSG00000002458,1752,1776,1812,1696,1627,1485,1296
ENSMUSG00000002459,80,20,42,26,44,74,45
ENSMUSG00000002475,85,72,128,106,92,132,63
ENSMUSG00000002477,6908,5386,6883,6868,6554,7142,6464
ENSMUSG00000002486,1036,682,965,857,888,1106,908
ENSMUSG00000002489,2372,1180,2170,2318,1582,2145,2292
ENSMUSG00000002496,7977,6113,7679,7243,7144,7130,6742
ENSMUSG00000002500,0,1,8,2,1,5,2
ENSMUSG00000002504,613,551,767,661,610,816,621
ENSMUSG00000002524,8630,5710,8929,7955,8756,9395,7841
ENSMUSG00000002546,2012,2330,2279,1721,1922,2217,1782
ENSMUSG00000002550,1527,1238,1502,1386,1417,1480,1474
ENSMUSG00000002565,72,253,62,72,128,42,104
ENSMUSG00000002578,416,333,380,357,341,346,449
ENSMUSG00000002580,1265,1179,1291,1021,1465,1756,1249
ENSMUSG00000002588,0,0,0,1,0,0,0
ENSMUSG00000002602,7,4,2,3,7,5,14
ENSMUSG00000002603,951,752,1713,1094,1246,1290,834
ENSMUSG00000002608,1391,1415,1601,2161,1329,1836,1638
